en,tr
biggest,en büyük
plays,oyunlar
natural,doğal
dancing,dans
copy,kopyala
plus,artı
martin,Martin
cake,kek
freedom,özgürlük
among,arasında
breath,nefes
operation,operasyon
chris,Chris
crew,mürettebat
challenge,meydan okumak
market,pazar
meat,et
towards,karşı
bringing,getirmek
dropped,düştü
student,öğrenci
lied,yalan söyledi
strength,kuvvet
size,boyut
breathe,nefes almak
color,renk
monster,canavar
loud,yüksek sesle
photo,fotoğraf
aw,ah
nearly,neredeyse
sight,görünüş
greatest,en büyük
games,oyunlar
bridge,köprü
dressed,giyinmiş
arrested,tutuklanmış
horrible,berbat
coach,koç
planning,planlama
checked,kontrol edildi
breaking,kırılmak
noticed,algılanan
fantastic,fantastik
screams,çığlıklar
serve,sert
ideas,fikirler
investigation,soruşturma
center,merkez
older,daha yaşlı
pack,ambalaj
soldiers,askerler
nonsense,anlamsız
doc,belge
project,proje
training,eğitim
example,örnek
trick,kandırmak
prepared,tedarikli
science,bilim
united,birleşik
travel,seyahat
incredible,inanılmaz
grandpa,dede
paying,ödeme
character,karakter
teeth,dişler
criminal,suçlu
charles,Charles
chinese,Çince
truly,tamamen
honestly,Açıkçası
bro,kardeş
survive,hayatta kalmak
bobby,Bobby
target,hedef
feed,beslemek
nurse,hemşire
e,e
fake,sahte
records,kayıtlar
breathing,nefes alma
sweetie,Tatlım
numbers,sayılar
oil,yağ
suicide,intihar
belong,ait olmak
whoo,ah
perfectly,mükemmel bir şekilde
amy,Amy
forgotten,unutulmuş
remain,geriye kalmak
original,orijinal
papa,baba
onto,üzerine
concerned,endişeli
credit,kredi
ugh,ııı
invited,davet edildi
discuss,tartışmak
research,araştırma
easier,Daha kolay
view,görüş
chair,sandalye
hurts,acıtmak
strike,çarpmak
roger,Roger
fill,doldurmak
condition,durum
mountain,dağ
dr,doktor
nowhere,hiçbir yerde
sheriff,şerif
kim,kim
turning,dönüş
brown,kahverengi
recognize,tanımak
heads,kafalar
audience,kitle
all,Tümü
jealous,kıskanç
pretend,numara yapmak
society,toplum
finding,bulma
shirt,gömlek
comfortable,rahat
meaning,Anlam
guest,misafir
pieces,parçalar
dry,kuru
letting,izin vermek
began,başlamak
aye,evet
jeff,Jeff
female,dişi
release,serbest bırakmak
ho,ho
cards,kartlar
pray,dua etmek
unfortunately,Ne yazık ki
balls,toplar
destroyed,yok edildi
ended,sona erdi
universe,evren
prepare,hazırlanmak
opinion,fikir
movies,filmler
soldier,asker
wash,yıkamak
program,program
heat,sıcaklık
usual,olağan
ticket,bilet
stolen,çalındı
prefer,tercih etmek
aware,farkında olmak
surely,elbette
male,erkek
base,temel
matters,meseleler
lift,kaldırmak
lab,laboratuvar
command,emretmek
proof,kanıt
cream,krem
selling,satış
believed,inanılan
create,yaratmak
h,H
afford,parası yetmek
sunday,Pazar
total,toplam
dumb,sersem
threw,attı
france,Fransa
birth,doğum
created,oluşturuldu
realized,gerçekleştirilmiş
british,İngiliz
noise,gürültü
nuts,fındık
students,öğrenciler
birds,kuşlar
social,sosyal
brilliant,muhteşem
bodies,bedenler
tie,bağlamak
opened,açıldı
ours,bizim
bucks,dolar
kevin,Kevin
mister,bayım
ugly,çirkin
ryan,Ryan
focus,odak
dan,dan
opens,açılır
exist,var olmak
followed,ardından
england,İngiltere
draw,çizmek
purpose,amaç
letters,edebiyat
daniel,Daniel
opening,açılış
bullet,mermi
anna,Anna
lately,son zamanlarda
stayed,kaldı
falling,düşmek
season,mevsim
ends,son
suggest,tavsiye etmek
joy,neşe
distance,mesafe
responsibility,sorumluluk
whenever,her ne zaman
issue,sorun
thousands,binlerce
process,işlem
sword,kılıç
shower,duş
weak,zayıf
fucked,siktir git
lonely,yalnız
happiness,mutluluk
eric,Eric
tiny,minik
desk,çalışma masası
pool,havuz
property,mülk
forced,zoraki
settle,yerleşmek
indistinct,belirsiz
weight,ağırlık
received,kabul edilmiş
gang,çete
bite,ısırmak
friday,cuma
disappeared,ortadan kayboldu
interview,röportaj
expecting,bekleyen
kinda,gibi
surgery,ameliyat
horses,atlar
mayor,belediye başkanı
babe,bebeğim
ancient,antik
handsome,Yakışıklı
thomas,Thomas
saturday,Cumartesi
staff,kadro
lines,çizgiler
unit,birim
fan,fan
gentleman,beyefendi
introduce,tanıtmak
fate,kader
split,bölmek
recently,son zamanlarda
expected,beklenen
add,eklemek
ordered,sipariş edildi
slowly,yavaşça
alarm,alarm
member,üye
slept,uyudu
signed,imzalandı
enter,girmek
spanish,İspanyol
garden,bahçe
brings,getiriyor
brave,cesur
pig,domuz
model,model
finger,parmak
medicine,ilaç
access,erişim
failed,arızalı
flat,düz
easily,kolayca
discovered,keşfedildi
based,temelli
screw,vida
insane,inanılmaz
cares,bakım
weather,hava durumu
fingers,parmaklar
san,san
scott,Scott
path,yol
soft,yumuşak
harm,zarar
style,stil
community,toplum
sees,görüyor
basically,temel olarak
al,al
signal,sinyal
nope,Hayır
spare,kıyamamak
speech,konuşma
covered,kapalı
shake,sallamak
loose,gevşetmek
snow,kar
russian,Rusça
lake,göl
bright,parlak
roof,çatı
ohh,Aah
sending,gönderme
paint,boyamak
remind,hatırlatmak
pal,dostum
naked,çıplak
post,postalamak
sugar,şeker
heading,başlık
streets,sokaklar
damage,zarar
silence,sessizlik
doors,kapılar
pete,Pete
ed,ed
success,başarı
wet,ıslak
nah,hayır
amount,miktar
members,üyeler
kate,Kate
manage,üstesinden gelmek
safety,emniyet
returned,geri döndü
harder,Daha güçlü
fbi,FBI
block,engellemek
showing,gösteriliyor
fancy,süslü
chef,şef
contract,sözleşme
dig,kazmak
chest,göğüs
good-bye,Güle güle
drinks,içecekler
dave,Dave
buried,gömülü
brian,Brian
trade,ticaret
journey,seyahat
stomach,karın
changes,değişiklikler
details,detaylar
thoughts,düşünceler
divorce,boşanmak
funeral,cenaze
maria,Maria
football,futbol
reality,gerçeklik
theory,teori
gosh,Aman Tanrım
ruined,mahvoldu
gate,geçit
william,William
spread,yaymak
outta,dışarı
japanese,Japonca
sudden,birden
coat,kaban
sooner,daha erken
cheese,peynir
larry,Larry
spring,bahar
page,sayfa
ears,kulaklar
simon,Simon
castle,kale
hidden,gizlenmiş
storm,fırtına
cos,cos
personally,şahsen
artist,sanatçı
hill,tepe
exciting,heyecan verici
permission,izin
jerry,Jerry
expensive,masraflı
tickets,biletler
forest,orman
barely,neredeyse
eggs,yumurta
goin,gidiyor
regret,pişmanlık
lesson,ders
lover,sevgili
bread,ekmek
andy,Andy
subject,ders
legal,yasal
growing,büyüyen
ill,hasta
jason,Jason
mood,mod
owner,mal sahibi
caused,neden oldu
beeping,bip sesi
points,puanlar
dating,flört
loss,kayıp
secretary,sekreter
revenge,intikam
santa,Noel Baba
likely,büyük ihtimalle
rent,kira
connection,bağlantı
assistant,asistan
reasons,sebepler
yelling,bağırmak
painting,tablo
trees,ağaçlar
doctors,doktorlar
rush,acele etmek
foreign,yabancı
rough,kaba 
murderer,katil
century,yüzyıl
nights,geceler
pair,çift
runs,koşuyor
pocket,cep
farm,çiftlik
matt,mat
bike,bisiklet
obvious,bariz
ate,yedi
grew,büyüdü
professional,profesyonel
tim,zaman
goodness,iyilik
parts,parçalar
alan,Alan
university,üniversite
square,kare
grandfather,dede
europe,Avrupa
genius,dahi
cases,vakalar
ruin,mahvetmek
winter,kış
tongue,dil
memories,hatıralar
da,da
buying,satın almak
cancer,kanser
clock,saat
ocean,okyanus
dna,DNA
liar,yalancı
tour,tur
thief,hırsız
bleep,bip sesi
lisa,Lisa
rights,haklar
including,içermek
competition,yarışma
smith,demirci
planned,planlandı
emily,Emily
boring,sıkıcı
victims,kurbanlar
mentioned,adı geçen
bones,kemikler
plant,bitki
bless,kutsasın
warning,uyarı
knocking,vurmak
re,tekrar
crash,kaza
bedroom,yatak odası
lower,daha düşük
silver,gümüş
groaning,inleme
madame,hanımefendi
defense,savunma
results,sonuçlar
toilet,tuvalet
event,etkinlik
complicated,karmaşık
shape,şekil
priest,rahip
royal,asil
cheap,ucuz
romantic,romantik
downstairs,alt katta
invite,davet etmek
fortune,talih
tears,göz yaşları
avoid,kaçınmak
reached,ulaşmış
higher,daha yüksek
familiar,aşina
telephone,telefon
burning,yanma
filled,doldurulmuş
kelly,Kelly
alice,Alice
airport,havalimanı
jobs,işler
grown,büyüdü
walter,Walter
rachel,Rachel
giant,devasa
insurance,sigorta
woods,ormanlar
